name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
もしもまたいつか (Moshimo Mata Itsuka) Feat. Ariel NIDJI,Ariel NOAH,3OVQ4OkklQ0LpIfd7Bl0jI,0.742,0.486,-11.917,0.0302,0.629,114.016,0.152,0.565
Wait Another Day,Mike Williams,7qZOnik9K8Mv987ccBjwwj,0.727,0.912,-3.594,0.0377,0.0272,126.023,0.118,0.671
Make You Mine (feat. Moa Lisa),Mike Williams,1ICPREUY4yMNeFEgbNh7D5,0.72,0.781,-4.975,0.0569,0.0171,126.004,0.215,0.349
Wait For You (feat. Maia Wright),Mike Williams,0OpfRbSog1yotyMpFVX6K9,0.517,0.733,-4.075,0.0398,0.224,109.939,0.0921,0.426
I Got You,Mike Williams,4QE7rcOeNErdz87pgSZ823,0.597,0.832,-3.865,0.0782,0.114,126.069,0.7,0.374
Memori,Eka Gustiwana,266KLge0BPmxLkMqtPhOJZ,0.784,0.688,-6.925,0.0322,0.483,109.99,0.17,0.689
LATHI (ꦭꦛꦶ),Weird Genius,7ksK7gpPDFdY4JLHr1hKfY,0.58,0.898,-1.928,0.0349,0.0857,150.018,0.478,0.213
Ko Ko Bop,EXO,5EzitieoPnjyKHAq0gfRMa,0.749,0.85,-4.346,0.0468,0.0319,145.983,0.0678,0.672
death bed (coffee for your head) (feat. beabadoobee),Powfu,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,144.026,0.696,0.348
Superheroes,The Script,37sINbJZcFdHFAsVNsPq1i,0.491,0.885,-4.121,0.0395,0.00219,166.992,0.0741,0.641
Hall of Fame (feat. will.i.am),The Script,7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,-4.343,0.0565,0.0653,84.803,0.123,0.63
You Know I'll Go Get,DJ Haning,7oQqbE69h5VEU25RZHIZ5p,0.859,0.868,-4.746,0.0452,0.0092,131.994,0.208,0.735
Serenata Jiwa Lara,Diskoria,7ivFVBVYH5akFOtOAyeJ4j,0.608,0.628,-6.695,0.0312,0.0952,115.019,0.222,0.886
Balada Insan Muda,Diskoria,7rt1ze8gO84v4k9vBvb7JB,0.626,0.811,-5.479,0.0364,0.111,113.925,0.472,0.691
Bentuk Cinta,Eclat Story,4J12uL4aNKzRco173fPyYQ,0.73,0.328,-9.542,0.0323,0.585,110.11,0.135,0.503
As If It's Your Last,Funguypiano,5JQKHB3Bmjhz1GB0kI91Fu,0.314,0.303,-14.94,0.0426,0.874,129.125,0.134,0.0646
Way Back Home,Funguypiano,2nC7sW1clIqOxZ48DcKrTg,0.317,0.264,-14.031,0.042,0.937,90.625,0.188,0.0716
Secukupnya,Hindia,5drW6PGRxkE6MxttzVLNk5,0.731,0.796,-5.098,0.0344,0.19,102.006,0.354,0.933
